'freq[cm-1]','tip3p[200ps/hann/30]', 'spce/qspcfw[200ps/hann/30]', 'spce/spcfw[200ps/hann/30]', 'spce[200ps/hann/30]', 'opc3pol[200ps/hann/30]', 'pbe[45ps/hann/30]'
0.000000,67.379785,22.718915,18.275294,38.970610,17.016003,4.125112
1.000000,69.657839,23.460526,18.871950,40.299968,17.572533,4.250176
2.000000,71.953979,24.206786,19.472277,41.642649,18.133029,4.375168
3.000000,74.249130,24.951507,20.071090,42.985463,18.692699,4.499927
4.000000,76.558308,25.698575,20.671955,44.337982,19.254989,4.624292
5.000000,78.869447,26.444908,21.272133,45.694643,19.817353,4.750227
6.000000,81.168943,27.187051,21.868407,47.045509,20.376809,4.873652
7.000000,83.472309,27.929048,22.464509,48.402654,20.937021,4.996267
8.000000,85.759439,28.664644,23.055179,49.750387,21.492990,5.117931
9.000000,88.044595,29.398413,23.644407,51.100629,22.048544,5.238509
10.000000,90.317986,30.126585,24.229413,52.444676,22.601030,5.357870
11.000000,92.566320,30.845814,24.806598,53.775846,23.147415,5.475892
12.000000,94.805880,31.560128,25.380468,55.102541,23.691807,5.594530
13.000000,97.025092,32.266502,25.947768,56.419369,24.231624,5.709834
14.000000,99.211901,32.961873,26.505790,57.719887,24.763653,5.823506
15.000000,101.382974,33.649962,27.058617,59.012862,25.292212,5.935455
16.000000,103.517073,34.325672,27.601059,60.285965,25.812248,6.045595
17.000000,105.631371,34.993025,28.137850,61.549892,26.327832,6.153848
18.000000,107.715069,35.649498,28.666012,62.798056,26.836817,6.260145
19.000000,109.756456,36.291355,29.182168,64.021788,27.336195,6.366538
20.000000,111.773005,36.923857,29.691563,65.232871,27.830474,6.469051
21.000000,113.744280,37.540552,30.188434,66.418305,28.314527,6.569482
22.000000,115.686719,38.147246,30.678522,67.588575,28.792825,6.667793
23.000000,117.591468,38.740593,31.158769,68.738504,29.263136,6.763954
24.000000,119.448977,39.316972,31.625519,69.860917,29.722793,6.857941
25.000000,121.277889,39.882310,32.084522,70.967120,30.176439,6.949736
26.000000,123.055416,40.430319,32.530467,72.044509,30.619103,7.039328
27.000000,124.804123,40.966873,32.968245,73.103949,31.055543,7.128975
28.000000,126.509921,41.489338,33.395976,74.140170,31.483592,7.214482
29.000000,128.164950,41.993944,33.810887,75.147762,31.900571,7.297828
30.000000,129.786819,42.487204,34.218243,76.137222,32.311564,7.379024
31.000000,131.358790,42.962544,34.612875,77.097539,32.711410,7.458087
32.000000,132.898656,43.426080,35.000322,78.040011,33.105225,7.535038
33.000000,134.397812,43.874833,35.378441,78.959922,33.490763,7.609900
34.000000,135.847473,44.306757,35.744287,79.850751,33.865612,7.685106
35.000000,137.266105,44.726689,36.103676,80.724370,34.235123,7.756224
36.000000,138.636089,45.130182,36.451467,81.570131,34.593841,7.825383
37.000000,139.978238,45.522600,36.793029,82.398590,34.947626,7.892618
38.000000,141.283035,45.902419,37.126317,83.206268,35.293522,7.957966
39.000000,142.539946,46.265299,37.449422,83.988320,35.629400,8.021465
40.000000,143.771241,46.619027,37.767283,84.756121,35.960337,8.083151
41.000000,144.956683,46.956180,38.075546,85.498809,36.281716,8.143061
42.000000,146.119504,47.284589,38.379794,86.228975,36.598621,8.203661
43.000000,147.249893,47.601278,38.678092,86.942077,36.909013,8.260487
44.000000,148.336979,47.902591,38.967211,87.632009,37.210286,8.315690
45.000000,149.404342,48.196704,39.253216,88.313684,37.507913,8.369308
46.000000,150.441862,48.480324,39.533323,88.981302,37.799337,8.421378
47.000000,151.440906,48.749387,39.806522,89.626849,38.082336,8.471935
48.000000,152.422436,49.012163,40.077225,90.265793,38.361914,8.521009
49.000000,153.368297,49.261565,40.341508,90.885849,38.633558,8.571193
50.000000,154.299541,49.505029,40.604602,91.500538,38.902596,8.617773
51.000000,155.208792,49.739639,40.864369,92.106151,39.166979,8.663007
52.000000,156.085162,49.962866,41.118170,92.695319,39.423338,8.706924
53.000000,156.954155,50.181264,41.371907,93.283413,39.677731,8.749551
54.000000,157.790475,50.389070,41.620196,93.856327,39.924673,8.790915
55.000000,158.623185,50.593395,41.869350,94.429701,40.169792,8.831037
56.000000,159.438929,50.791508,42.116662,94.997700,40.411012,8.872735
57.000000,160.225884,50.979869,42.359067,95.553029,40.645283,8.910850
58.000000,161.011592,51.166126,42.602738,96.111507,40.878333,8.947839
59.000000,161.771172,51.343584,42.842231,96.658604,41.104834,8.983721
60.000000,162.531673,51.519904,43.083186,97.210671,41.330165,9.018519
61.000000,163.280311,51.691952,43.323076,97.761394,41.552250,9.052250
62.000000,164.008416,51.856614,43.559713,98.301740,41.768351,9.084935
63.000000,164.736751,52.020780,43.797952,98.848254,41.984167,9.119467
64.000000,165.448569,52.178830,44.033239,99.386299,42.193973,9.150534
65.000000,166.162148,52.337090,44.270783,99.929665,42.404005,9.180662
66.000000,166.871548,52.493742,44.508282,100.473417,42.611305,9.209871
67.000000,167.567254,52.645227,44.742523,101.010979,42.812953,9.238185
68.000000,168.269885,52.798915,44.979462,101.556271,43.014973,9.265624
69.000000,168.959482,52.947970,45.213148,102.094681,43.211689,9.292212
70.000000,169.658974,53.100097,45.450056,102.641140,43.409210,9.317972
71.000000,170.358723,53.252131,45.687138,103.188455,43.604942,9.346002
