'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
0.000000,1.465129,0.856632,0.657289,1.195687,0.629163
1.650000,2.083745,0.915314,0.694967,1.487337,0.680401
3.300000,2.939346,0.978631,0.765421,1.651292,0.784893
4.950000,2.967099,1.004777,0.843301,1.487991,0.829150
6.600000,2.712085,1.049909,0.893859,1.780314,0.773605
8.250000,2.954946,1.068098,0.840087,1.990390,0.748426
9.900000,3.128275,1.079620,0.763825,1.649162,0.788548
11.550000,2.905602,1.081580,0.796383,1.573832,0.818465
13.200000,3.545636,1.121652,0.874060,1.747166,0.846886
14.850000,4.340182,1.235148,0.904063,1.871147,0.848126
16.500000,3.778378,1.161412,0.938858,1.947044,0.825459
18.150000,3.289119,0.993096,1.022026,1.901907,0.793833
19.800000,3.335588,1.055290,1.031221,1.909548,0.802050
21.450000,3.273505,1.122610,0.940657,1.947895,0.877876
23.100000,3.831316,1.033694,0.985052,2.149038,0.868774
24.750000,4.324405,1.108096,1.043004,2.232338,0.835087
26.400000,4.164090,1.285990,1.012048,2.126013,0.914355
28.050000,4.096689,1.264753,1.018873,2.240917,0.998915
29.700000,3.742501,1.228841,0.967611,2.070654,0.991736
31.350000,3.356367,1.356134,0.930672,1.756397,0.921506
33.000000,3.365079,1.475285,0.963414,2.048424,0.904418
34.650000,3.448591,1.376136,0.961696,2.519199,0.912504
36.300000,3.745193,1.209582,0.916793,2.377362,0.872652
37.950000,3.638936,1.161524,0.980502,2.120148,0.877022
39.600000,3.193351,1.128685,1.107362,2.660304,0.932027
41.250000,3.372833,1.216095,1.097561,3.031003,0.959308
42.900000,3.873132,1.412133,1.028728,2.765136,0.991111
44.550000,4.498188,1.424475,1.072670,2.903314,1.022800
46.200000,5.133611,1.282201,1.071106,3.117789,1.003976
47.850000,4.533891,1.148210,0.914886,2.694676,0.941056
49.500000,3.594020,1.197975,0.970982,2.226129,0.893899
51.150000,3.846484,1.409974,1.146364,2.409156,0.923629
52.800000,4.285420,1.495285,1.065705,2.467944,1.035137
54.450000,4.255059,1.449165,0.988799,2.071858,1.128218
56.100000,4.392445,1.402356,1.038982,1.965464,1.062179
57.750000,4.762704,1.367449,1.036831,2.251210,1.077778
59.400000,4.589653,1.392699,1.077584,2.556741,1.224537
