'freq[cm-1]','pbe[45ps/hann]'
0.000000, 0.732185
7.333333, 0.757148
14.666667, 0.820518
22.000000, 0.903939
29.333333, 0.941006
36.666667, 0.939069
44.000000, 0.953245
51.333333, 0.990531
58.666667, 1.057340
66.000000, 1.121772
73.333333, 1.175636
80.666667, 1.142026
88.000000, 1.087762
95.333333, 1.084824
102.666667, 1.061299
110.000000, 1.083207
117.333333, 1.159353
124.666667, 1.232375
132.000000, 1.243741
139.333333, 1.310761
146.666667, 1.430547
154.000000, 1.472640
161.333333, 1.575723
168.666667, 1.604241
176.000000, 1.6288562
183.333333, 1.885174
190.666667, 1.949093
198.000000, 1.776631
205.333333, 1.814358
212.666667, 1.933377
220.000000, 1.924575
227.333333, 1.835246
234.666667, 1.890549
242.000000, 1.996616
249.333333, 1.778308
256.666667, 1.785386
264.000000, 2.063188
271.333333, 2.019397
278.666667, 1.857072
286.000000, 1.947287
293.333333, 2.066752
300.666667, 2.096447
308.000000, 2.303245
315.333333, 2.218319
322.666667, 2.030430
330.000000, 2.632938
337.333333, 3.130006
344.666667, 2.509912
352.000000, 1.776038
359.333333, 1.773252
366.666667, 2.226737
374.000000, 2.968083
381.333333, 3.406768
388.666667, 3.447231
396.000000, 3.646082
403.333333, 3.520739
410.666667, 3.095720
418.000000, 3.163568
425.333333, 3.640699
432.666667, 3.936916
440.000000, 4.014280
447.333333, 4.043765
454.666667, 3.803117
462.000000, 3.293803
469.333333, 3.325869
476.666667, 3.627670
484.000000, 3.640116
491.333333, 4.087658
498.666667, 4.602628
506.000000, 4.804122
513.333333, 4.937610
520.666667, 4.785320
528.000000, 4.327225
535.333333, 4.242155
542.666667, 5.113062
550.000000, 6.132614
557.333333, 7.143000
564.666667, 7.659333
572.000000, 7.559402
579.333333, 7.582712
586.666667, 7.381508
594.000000, 8.176606
601.333333, 8.407338
608.666667, 6.750304
616.000000, 6.434242
623.333333, 6.939584
630.666667, 6.826398
638.000000, 7.556413
645.333333, 9.183519
652.666667, 10.538649
660.000000, 11.849456
667.333333, 11.125773
674.666667, 9.057067
682.000000, 11.609247
689.333333, 15.778922
696.666667, 16.243953
704.000000, 14.423057
711.333333, 13.168173
718.666667, 14.864406
726.000000, 15.998056
733.333333, 14.287123
740.666667, 15.579111
748.000000, 17.649374
755.333333, 17.064888
762.666667, 19.588425
770.000000, 21.900298
777.333333, 18.384182
784.666667, 16.216407
792.000000, 18.120584
799.333333, 17.312229
806.666667, 15.080627
814.000000, 15.355544
821.333333, 16.298972
828.666667, 15.997254
836.000000, 15.116963
843.333333, 16.349589
850.666667, 17.451570
858.000000, 15.549691
865.333333, 13.281945
872.666667, 12.697884
880.000000, 13.594657
887.333333, 14.141029
894.666667, 14.871855
902.000000, 15.830466
909.333333, 14.780100
916.666667, 13.421638
924.000000, 13.537560
931.333333, 14.391040
938.666667, 13.852934
946.000000, 12.715896
953.333333, 14.370501
960.666667, 15.366002
968.000000, 12.745779
975.333333, 10.154754
982.666667, 9.271158
990.000000, 9.179219
997.333333, 8.671515
1004.666667, 8.445820
1012.000000, 8.564503
1019.333333, 7.426302
1026.666667, 6.725458
1034.000000, 6.555308
1041.333333, 5.901953
1048.666667, 6.224382
1056.000000, 6.835107
1063.333333, 6.063070
1070.666667, 4.408450
1078.000000, 3.421098
1085.333333, 3.765952
1092.666667, 4.041478
1100.000000, 3.539335
1107.333333, 2.945734
1114.666667, 2.475174
1122.000000, 2.286985
1129.333333, 2.187307
1136.666667, 2.012087
1144.000000, 1.903988
1151.333333, 1.605276
1158.666667, 1.328954
1166.000000, 1.452243
1173.333333, 1.679532
1180.666667, 1.716421
1188.000000, 1.666028
1195.333333, 1.572240
1202.666667, 1.421042
1210.000000, 1.397356
1217.333333, 1.498088
1224.666667, 1.627977
1232.000000, 1.505009
1239.333333, 1.348305
1246.666667, 1.385629
1254.000000, 1.392083
1261.333333, 1.517326
1268.666667, 1.704160
1276.000000, 1.535048
1283.333333, 1.316443
1290.666667, 1.322906
1298.000000, 1.225898
1305.333333, 1.330235
1312.666667, 1.559389
1320.000000, 1.508775
1327.333333, 1.493143
1334.666667, 1.605843
1342.000000, 1.783806
1349.333333, 1.901190
1356.666667, 1.809427
1364.000000, 1.656828
1371.333333, 1.447754
1378.666667, 1.409749
1386.000000, 1.635794
1393.333333, 1.738619
1400.666667, 1.867971
1408.000000, 2.098479
1415.333333, 2.068177
1422.666667, 1.976618
1430.000000, 2.217138
1437.333333, 2.612226
1444.666667, 2.705095
1452.000000, 2.607450
1459.333333, 3.195547
1466.666667, 4.033971
1474.000000, 3.975924
1481.333333, 4.599207
1488.666667, 6.138831
1496.000000, 6.061099
1503.333333, 5.439439
1510.666667, 5.893087
1518.000000, 6.101756
1525.333333, 6.537803
1532.666667, 8.573280
1540.000000, 10.151257
1547.333333, 9.916455
1554.666667, 11.115514
1562.000000, 13.272808
1569.333333, 15.175233
1576.666667, 17.885778
1584.000000, 18.711308
1591.333333, 15.913919
1598.666667, 16.978410
1606.000000, 22.431673
1613.333333, 23.791313
1620.666667, 23.649376
1628.000000, 24.213794
1635.333333, 23.509113
1642.666667, 20.660122
1650.000000, 18.260931
1657.333333, 15.823065
1664.666667, 12.401520
1672.000000, 10.941156
1679.333333, 8.886023
1686.666667, 6.201019
1694.000000, 5.453276
1701.333333, 5.462534
1708.666667, 4.846894
1716.000000, 4.282821
1723.333333, 3.651916
1730.666667, 2.977439
1738.000000, 2.981824
1745.333333, 2.919941
1752.666667, 2.277369
1760.000000, 1.650840
1767.333333, 1.273035
1774.666667, 1.220535
1782.000000, 1.314509
1789.333333, 1.247931
1796.666667, 1.180281
1804.000000, 1.110968
1811.333333, 1.136446
1818.666667, 1.204674
1826.000000, 1.101035
1833.333333, 0.983762
1840.666667, 0.935532
1848.000000, 0.915577
1855.333333, 0.866049
1862.666667, 0.804625
1870.000000, 0.819993
1877.333333, 0.835225
1884.666667, 0.786455
1892.000000, 0.773477
1899.333333, 0.777841
1906.666667, 0.747479
1914.000000, 0.749875
1921.333333, 0.749985
1928.666667, 0.704454
1936.000000, 0.674505
1943.333333, 0.668213
1950.666667, 0.707287
1958.000000, 0.773458
1965.333333, 0.770129
1972.666667, 0.758523
1980.000000, 0.763818
1987.333333, 0.778578
1994.666667, 0.811374
2002.000000, 0.762631
2009.333333, 0.697847
2016.666667, 0.697490
2024.000000, 0.713962
2031.333333, 0.703985
2038.666667, 0.683790
2046.000000, 0.697283
2053.333333, 0.724636
2060.666667, 0.742221
2068.000000, 0.755474
2075.333333, 0.761737
2082.666667, 0.786035
2090.000000, 0.832628
2097.333333, 0.802837
2104.666667, 0.760716
2112.000000, 0.754594
2119.333333, 0.739709
2126.666667, 0.793449
2134.000000, 0.836253
2141.333333, 0.856298
2148.666667, 0.900815
2156.000000, 0.940905
2163.333333, 0.944754
2170.666667, 0.913022
2178.000000, 0.951545
2185.333333, 0.968639
2192.666667, 0.956062
2200.000000, 0.956134
2207.333333, 0.887630
2214.666667, 0.860795
2222.000000, 0.907692
2229.333333, 0.920260
2236.666667, 0.893868
2244.000000, 0.845978
2251.333333, 0.851184
2258.666667, 0.911744
2266.000000, 0.907449
2273.333333, 0.849322
2280.666667, 0.836472
2288.000000, 0.892202
2295.333333, 0.922921
2302.666667, 0.858507
2310.000000, 0.819550
2317.333333, 0.901034
2324.666667, 0.920582
2332.000000, 0.840651
2339.333333, 0.833818
2346.666667, 0.821531
2354.000000, 0.759675
2361.333333, 0.721380
2368.666667, 0.655639
2376.000000, 0.680763
2383.333333, 0.827984
2390.666667, 0.936852
2398.000000, 0.928071
2405.333333, 0.833978
2412.666667, 0.815049
2420.000000, 0.845884
2427.333333, 0.880721
2434.666667, 0.935124
2442.000000, 0.886466
2449.333333, 0.813886
2456.666667, 0.847946
2464.000000, 0.880526
2471.333333, 0.846320
2478.666667, 0.820689
2486.000000, 0.810972
2493.333333, 0.828522
2500.666667, 0.872461
2508.000000, 0.858463
2515.333333, 0.935613
2522.666667, 1.029420
2530.000000, 0.914263
2537.333333, 0.790120
2544.666667, 0.803395
2552.000000, 0.846368
2559.333333, 0.846307
2566.666667, 0.855137
2574.000000, 0.862076
2581.333333, 0.865734
2588.666667, 0.879731
2596.000000, 0.922282
2603.333333, 1.017309
2610.666667, 1.022039
2618.000000, 0.964797
2625.333333, 0.990734
2632.666667, 1.038142
2640.000000, 1.056553
2647.333333, 1.050637
2654.666667, 1.004264
2662.000000, 0.913590
2669.333333, 0.969303
2676.666667, 1.138074
2684.000000, 1.252877
2691.333333, 1.348833
2698.666667, 1.278780
2706.000000, 1.139445
2713.333333, 1.205365
2720.666667, 1.389487
2728.000000, 1.445911
2735.333333, 1.452309
2742.666667, 1.483724
2750.000000, 1.480689
2757.333333, 1.538205
2764.666667, 1.618377
2772.000000, 1.627529
2779.333333, 1.585737
2786.666667, 1.621520
2794.000000, 1.772425
2801.333333, 1.820480
2808.666667, 1.773257
2816.000000, 2.006366
2823.333333, 2.242656
2830.666667, 2.063522
2838.000000, 2.083474
2845.333333, 2.441133
2852.666667, 2.697537
2860.000000, 2.793220
2867.333333, 2.539361
2874.666667, 2.104709
2882.000000, 2.270371
2889.333333, 2.731400
2896.666667, 2.846029
2904.000000, 3.494332
2911.333333, 4.240510
2918.666667, 4.169748
2926.000000, 4.285860
2933.333333, 4.772210
2940.666667, 5.118811
2948.000000, 5.526827
2955.333333, 5.586561
2962.666667, 5.205982
2970.000000, 6.004276
2977.333333, 6.941792
2984.666667, 6.385431
2992.000000, 6.260996
2999.333333, 6.655064
3006.666667, 6.202119
3014.000000, 5.957309
3021.333333, 7.354134
3028.666667, 8.132309
3036.000000, 7.654226
3043.333333, 9.684402
3050.666667, 10.307269
3058.000000, 8.097393
3065.333333, 9.295107
3072.666667, 10.046965
3080.000000, 7.700645
3087.333333, 8.333803
3094.666667, 10.996344
3102.000000, 11.070353
3109.333333, 9.251608
3116.666667, 8.669100
3124.000000, 9.683798
3131.333333, 9.338610
3138.666667, 8.821658
3146.000000, 10.369050
3153.333333, 11.490303
3160.666667, 11.996252
3168.000000, 13.498381
3175.333333, 13.054973
3182.666667, 11.636545
3190.000000, 12.932431
3197.333333, 14.177147
3204.666667, 12.874920
3212.000000, 11.021875
3219.333333, 9.889043
3226.666667, 8.917538
3234.000000, 10.022384
3241.333333, 12.053214
3248.666667, 11.053995
3256.000000, 8.322936
3263.333333, 7.653996
3270.666667, 8.168843
3278.000000, 7.510555
3285.333333, 7.310023
3292.666667, 7.295626
3300.000000, 6.967269
3307.333333, 7.476725
3314.666667, 7.819360
3322.000000, 7.535388
3329.333333, 7.840174
3336.666667, 8.820718
3344.000000, 8.726613
3351.333333, 7.903768
3358.666667, 8.261985
3366.000000, 9.292202
3373.333333, 8.606568
3380.666667, 6.178265
3388.000000, 5.654755
3395.333333, 7.385985
3402.666667, 7.836706
3410.000000, 6.759115
3417.333333, 6.200905
3424.666667, 6.483870
3432.000000, 5.875588
3439.333333, 4.269442
3446.666667, 3.542452
3454.000000, 4.319595
3461.333333, 5.990618
3468.666667, 6.436669
3476.000000, 5.601912
3483.333333, 5.054979
3490.666667, 5.010155
3498.000000, 4.742513
3505.333333, 3.790600
3512.666667, 3.224872
3520.000000, 3.597623
3527.333333, 4.513832
3534.666667, 4.610373
3542.000000, 3.887629
3549.333333, 3.598903
3556.666667, 3.067797
3564.000000, 2.304456
3571.333333, 2.481175
3578.666667, 2.907245
3586.000000, 2.791653
3593.333333, 2.949290
3600.666667, 3.162820
3608.000000, 3.036498
3615.333333, 2.989032
3622.666667, 2.994305
3630.000000, 3.089511
3637.333333, 2.979464
3644.666667, 2.751228
3652.000000, 2.426131
3659.333333, 2.034330
3666.666667, 2.314782
3674.000000, 2.754155
3681.333333, 2.647754
3688.666667, 2.228796
3696.000000, 1.868062
3703.333333, 1.606354
3710.666667, 1.401956
3718.000000, 1.394526
3725.333333, 1.269006
3732.666667, 1.044932
3740.000000, 0.965759
3747.333333, 0.882559
3754.666667, 0.777402
3762.000000, 0.706107
